Zip,City,State
71937,Cove,AR
72044,Edgemont,AR
56171,Sherburn,MN
49430,Lamont,MI
52585,Richland,IA
47520,Cannelton,IN
49464,Zeeland,MI
49919,Covington,MI
52401,Cedar Rapids,IA
35979,Higdon,AL
36350,Midland City,AL
38401,Columbia,TN
41065,Muses Mills,KY
55302,Annandale,MN
29607,Greenville,SC
31150,Atlanta,GA
31646,Saint George,GA
31826,Shiloh,GA
17932,Frackville,PA
18947,Pipersville,PA
20227,Washington,DC
14043,Depew,NY
15278,Pittsburgh,PA
15482,Star Junction,PA
33446,Delray Beach,FL
27915,Avon,NC
23328,Chesapeake,VA
24062,Blacksburg,VA
26253,Beverly,WV
02472,Watertown,MA
07309,Jersey City,NJ
00623,Cabo Rojo,PR
52163,Protivin,IA
52216,Clarence,IA
53031,Hingham,WI
60651,Chicago,IL
62090,Venice,IL
62420,Casey,IL
64503,Saint Joseph,MO
65325,Cole Camp,MO
65638,Drury,MO
74801,Shawnee,OK
75475,Randolph,TX
75757,Bullard,TX
63179,Saint Louis,MO
63436,Center,MO
57440,Frankfort,SD
72112,Newport,AR
72714,Bella Vista,AR
99671,Stebbins,AK
97304,Salem,OR
97414,Broadbent,OR
81148,Romeo,CO
81423,Norwood,CO
81505,Grand Junction,CO
81624,Collbran,CO
82718,Gillette,WY
89317,Lund,NV
92232,Calexico,CA
93227,Goshen,CA
93234,Huron,CA
93529,June Lake,CA
93761,Fresno,CA
94931,Cotati,CA
95322,Gustine,CA
30334,Atlanta,GA
36879,Waverly,AL
38017,Collierville,TN
43984,New Rumley,OH
46787,South Whitley,IN
31606,Valdosta,GA
55992,Zumbrota,MN
13827,Owego,NY
14739,Friendship,NY
15227,Pittsburgh,PA
16877,Warriors Mark,PA
31732,Cedar Springs,GA
32621,Bronson,FL
21634,Fishing Creek,MD
24008,Roanoke,VA
25645,Stirrat,WV
34447,Homosassa Springs,FL
35004,Moody,AL
27834,Greenville,NC
28373,Pinebluff,NC
11703,North Babylon,NY
02909,Providence,RI
04617,Brooksville,ME
07961,Morristown,NJ
00767,Yabucoa,PR
00803,St Thomas,VI
43681,Toledo,OH
36744,Greensboro,AL
37616,Afton,TN
38602,Arkabutla,MS
50519,Bode,IA
40081,Crestwood,KY
30444,East Point,GA
90038,Los Angeles,CA
90063,Los Angeles,CA
92709,Irvine,CA
93492,Morro Bay,CA
94175,San Francisco,CA
84530,La Sal,UT
95592,Vallejo,CA
38138,Germantown,TN
40298,Louisville,KY
56517,Beltrami,MN
57841,Carlisle,SD
58323,Calvin,ND
58533,Elgin,ND
58771,Plaza,ND
58793,Westhope,ND
53171,Somers,WI
53189,Waukesha,WI
56091,Waldorf,MN
43733,Derwent,OH
47613,Elberfeld,IN
51049,Quimby,IA
51651,Shambaugh,IA
53014,Chilton,WI
43334,Marengo,OH
62206,East Saint Louis,IL
64155,Kansas City,MO
48215,Detroit,MI
30531,Cornelia,GA
20521,Washington,DC
20557,Washington,DC
23176,Wake,VA
16830,Clearfield,PA
16876,Wallaceton,PA
11707,West Babylon,NY
12442,Hunter,NY
13334,Eaton,NY
13626,Copenhagen,NY
24620,Hurley,VA
25521,Griffithsville,WV
34489,Silver Springs,FL
17866,Coal Township,PA
17882,Troxelville,PA
18466,Tobyhanna,PA
19173,Philadelphia,PA
28039,East Spencer,NC
28206,Charlotte,NC
28282,Charlotte,NC
96778,Pahoa,HI
97298,Portland,OR
97538,Selma,OR
98520,Aberdeen,WA
98579,Rochester,WA
93701,Fresno,CA
94295,Sacramento,CA
16601,Altoona,PA
17301,Abbottstown,PA
19420,Arcola,PA
32503,Pensacola,FL
36268,Munford,AL
24292,Whitetop,VA
26267,Ellamore,WV
27341,Seagrove,NC
08887,Three Bridges,NJ
71284,Tallulah,LA
71423,Dry Prong,LA
71443,Kurthwood,LA
48226,Detroit,MI
48503,Flint,MI
49756,Lewiston,MI
50675,Traer,IA
78650,McDade,TX
80402,Golden,CO
83121,Frontier,WY
92693,San Juan Capistrano,CA
93140,Santa Barbara,CA
93255,Onyx,CA
75010,Carrollton,TX
76054,Hurst,TX
68743,Jackson,NE
85268,Fountain Hills,AZ
45841,Jenera,OH
65047,Kaiser,MO
67102,Maple City,KS
67954,Rolla,KS
68792,Wynot,NE
75961,Nacogdoches,TX
76452,Energy,TX
76855,Lowake,TX
80235,Denver,CO
80620,Evans,CO
81001,Pueblo,CO
83401,Idaho Falls,ID
85292,Winkelman,AZ
57481,Westport,SD
58723,Butte,ND
78349,Concepcion,TX
79381,Wilson,TX
63626,Blackwell,MO
23290,Richmond,VA
23486,Willis Wharf,VA
24069,Cascade,VA
15773,Saint Benedict,PA
16665,Newry,PA
16927,Harrison Valley,PA
30746,Sugar Valley,GA
32830,Orlando,FL
33756,Clearwater,FL
20868,Spencerville,MD
21849,Parsonsburg,MD
22218,Arlington,VA
17570,Rheems,PA
17942,Landingville,PA
18456,Prompton,PA
18834,New Milford,PA
18921,Ferndale,PA
19134,Philadelphia,PA
29164,Wagener,SC
54020,Osceola,WI
55125,Saint Paul,MN
56039,Granada,MN
39072,Pocahontas,MS
39154,Raymond,MS
08817,Edison,NJ
10965,Pearl River,NY
12151,Round Lake,NY
12195,West Lebanon,NY
18216,Beaver Meadows,PA
02169,Quincy,MA
02375,South Easton,MA
02639,Dennis Port,MA
77590,Texas City,TX
78013,Comfort,TX
68832,Doniphan,NE
42046,Hamlin,KY
43652,Toledo,OH
62611,Arenzville,IL
70005,Metairie,LA
71048,Lisbon,LA
26865,Yellow Spring,WV
28007,Ansonville,NC
54964,Pickett,WI
56011,Belle Plaine,MN
19318,Chatham,PA
21241,Baltimore,MD
50167,Minburn,IA
80202,Denver,CO
84305,Clarkston,UT
85382,Peoria,AZ
93465,Templeton,CA
94160,San Francisco,CA
